"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 20:16:26 GMT 2023","Mon Feb 13 20:16:44 GMT 2023","17817","chromium","","Promotions item","","","User should add item to preview and cart",""
"passed","Mon Feb 13 20:18:16 GMT 2023","Mon Feb 13 20:18:49 GMT 2023","32611","webkit","","Promotions item","","","User should add item to preview and cart",""
"passed","Mon Feb 13 20:17:34 GMT 2023","Mon Feb 13 20:18:15 GMT 2023","40570","firefox","","Whish list","","","User should add item to whish list, preview, add to cart",""
"passed","Mon Feb 13 20:18:22 GMT 2023","Mon Feb 13 20:18:37 GMT 2023","15153","webkit","","Guest page","","","Guest should submit the form with a non-existing order id and the rest valid data verify the form is not submitted",""
"passed","Mon Feb 13 20:17:58 GMT 2023","Mon Feb 13 20:18:16 GMT 2023","18000","webkit","","Advanced search","","","User should submit the form with any random data, verify there is a page with no results found ",""
"passed","Mon Feb 13 20:18:36 GMT 2023","Mon Feb 13 20:19:02 GMT 2023","25971","webkit","","Sale page","","","User should select item from the left menu, verify each items info, see 'Add to Cart'",""
"passed","Mon Feb 13 20:17:13 GMT 2023","Mon Feb 13 20:18:15 GMT 2023","61939","firefox","","Reset password","","","User should reset password, log in with new password, try to Log in with old password",""
"passed","Mon Feb 13 20:16:31 GMT 2023","Mon Feb 13 20:17:09 GMT 2023","38167","chromium","","Reset password","","","User should reset password, log in with new password, try to Log in with old password",""
"passed","Mon Feb 13 20:16:22 GMT 2023","Mon Feb 13 20:16:26 GMT 2023","4048","chromium","","Home page","","","User should see banners and contents",""
"passed","Mon Feb 13 20:18:25 GMT 2023","Mon Feb 13 20:18:53 GMT 2023","28713","webkit","","Login and Logout","","","User should login and logout",""
"passed","Mon Feb 13 20:18:01 GMT 2023","Mon Feb 13 20:18:33 GMT 2023","31882","webkit","","Bags page","","","User should see frame on hover over to item, sort by position/product name/price, sorted accordingly",""
"passed","Mon Feb 13 20:16:31 GMT 2023","Mon Feb 13 20:16:40 GMT 2023","8773","chromium","","Sale page","","","User should select item from the left menu, verify each items info, see 'Add to Cart'",""
"passed","Mon Feb 13 20:18:24 GMT 2023","Mon Feb 13 20:18:36 GMT 2023","11775","webkit","","Home page","","","User should see banners and contents",""
"passed","Mon Feb 13 20:18:49 GMT 2023","Mon Feb 13 20:19:22 GMT 2023","33259","webkit","","Whish list","","","User should add item to whish list, preview, add to cart",""
"passed","Mon Feb 13 20:17:15 GMT 2023","Mon Feb 13 20:17:47 GMT 2023","31699","firefox","","Login and Logout","","","User should login and logout",""
"passed","Mon Feb 13 20:16:40 GMT 2023","Mon Feb 13 20:17:10 GMT 2023","29332","chromium","","Whish list","","","User should add item to whish list, preview, add to cart",""
"passed","Mon Feb 13 20:16:44 GMT 2023","Mon Feb 13 20:17:02 GMT 2023","18285","firefox","","Advanced search","","","User should submit the form with any random data, verify there is a page with no results found ",""
"passed","Mon Feb 13 20:16:40 GMT 2023","Mon Feb 13 20:17:12 GMT 2023","31510","chromium","","Eco friendly collections","","","User should search, add the most expensive product and verify result in cart",""
"passed","Mon Feb 13 20:17:26 GMT 2023","Mon Feb 13 20:18:14 GMT 2023","47315","firefox","","Eco friendly collections","","","User should search, add the most expensive product and verify result in cart",""
"passed","Mon Feb 13 20:16:22 GMT 2023","Mon Feb 13 20:16:40 GMT 2023","18001","chromium","","Bags page","","","User should see frame on hover over to item, sort by position/product name/price, sorted accordingly",""
"passed","Mon Feb 13 20:17:18 GMT 2023","Mon Feb 13 20:17:34 GMT 2023","16436","firefox","","Sale page","","","User should select item from the left menu, verify each items info, see 'Add to Cart'",""
"passed","Mon Feb 13 20:16:22 GMT 2023","Mon Feb 13 20:16:31 GMT 2023","8996","chromium","","Advanced search","","","User should submit the form with any random data, verify there is a page with no results found ",""
"passed","Mon Feb 13 20:16:22 GMT 2023","Mon Feb 13 20:16:41 GMT 2023","18620","chromium","","Login and Logout","","","User should login and logout",""
"passed","Mon Feb 13 20:17:18 GMT 2023","Mon Feb 13 20:17:52 GMT 2023","34537","firefox","","Promotions item","","","User should add item to preview and cart",""
"passed","Mon Feb 13 20:18:37 GMT 2023","Mon Feb 13 20:19:19 GMT 2023","42054","webkit","","Eco friendly collections","","","User should search, add the most expensive product and verify result in cart",""
"passed","Mon Feb 13 20:16:22 GMT 2023","Mon Feb 13 20:16:31 GMT 2023","9133","chromium","","Guest page","","","Guest should submit the form with a non-existing order id and the rest valid data verify the form is not submitted",""
"passed","Mon Feb 13 20:16:50 GMT 2023","Mon Feb 13 20:17:18 GMT 2023","27458","firefox","","Bags page","","","User should see frame on hover over to item, sort by position/product name/price, sorted accordingly",""
"passed","Mon Feb 13 20:18:33 GMT 2023","Mon Feb 13 20:19:18 GMT 2023","44849","webkit","","Reset password","","","User should reset password, log in with new password, try to Log in with old password",""
"passed","Mon Feb 13 20:17:15 GMT 2023","Mon Feb 13 20:17:26 GMT 2023","10775","firefox","","Home page","","","User should see banners and contents",""
"passed","Mon Feb 13 20:17:02 GMT 2023","Mon Feb 13 20:17:13 GMT 2023","11463","firefox","","Guest page","","","Guest should submit the form with a non-existing order id and the rest valid data verify the form is not submitted",""
